id;Program;type;length;credits;description;url;keywords;;;;;;;;;;;;;;;;;;;;
63;Masterprogram i biologi – NABiS – samnordisk inriktning mot biodiversitet och systematik;Master;2;120;All den variation och rikedom av organismer som finns på vår planet, och deras evolutionära förhållanden, är i fokus på denna samnordiska inriktning mot biodiversitet och systematik inom masterprogrammet i biologi. Kombinationen av molekylära metoder och fältstudier har resulterat inte bara i att nya arter ständigt upptäcks utan också att vi kan förstå deras fylogenetiska samband. Vill du kunna besvara frågor kring evolution, biogeografi och ursprunget till all variation är detta inriktningen för dig.;https://www.uu.se/utbildning/program/masterprogram-biologi-nabis-samnordisk-inriktning-mot-biodiversitet-och-systematik;Biologi;;;;;;;;;;;;;;;;;;;;
64;Masterprogram i dataanalys – Maskininlärning och statistik;Master;2;120;Är du intresserad av att fördjupa dig i stora mängder data? Vill du utveckla din kunskap för att hjälpa lösa några av dagens samhällsproblem? Med en master i dataanalys, med inriktning maskininlärning och statistik, får du lära dig att göra avancerade statistiska analyser och hitta ny kunskap i stora mängder data.;https://www.uu.se/utbildning/program/masterprogram-dataanalys-maskininlarning-och-statistik;Dataanalys;Statistik;;;;;;;;;;;;;;;;;;;
65;Masterprogram i geovetenskap – Geologi;Master;2;120;Vill du vara med i den gröna omställningen och se till så att samhället utvinner mineralresurser på ett ansvarsfullt sätt? Vill du se till att framtidens byggnader, tunnlar och lagring av kärnavfall blir både säkra och hållbara? Vill du arbeta för att reducera påverkan av vulkanutbrott och jordskred? På masterprogrammet i geovetenskap, inriktning geologi lär du dig att använda och bevara jordens resurser för att skapa en hållbar framtid.;https://www.uu.se/utbildning/program/masterprogram-geovetenskap-geologi;Geovetenskap;;;;;;;;;;;;;;;;;;;;
66;Masterprogram i geovetenskap – Hydrologi/hydrogeologi;Master;2;120;Är du fascinerad av vattnets resa från regn till floder och grundvatten, dess väg genom landskapet och dess samspel med miljön? Om du brinner för att hantera vattenresurser eller ta itu med vattenrelaterade katastrofer är masterprogrammet i geovetenskap något för dig! Inriktningen mot hydrologi/hydrogeologi ger dig möjlighet att studera hydrologiska processer som avrinning, grundvattenbildning, flöde och mycket mer.;https://www.uu.se/utbildning/program/masterprogram-geovetenskap-hydrologi-hydrogeologi;Geovetenskap;Vattenresurser;;;;;;;;;;;;;;;;;;;
67;Masterprogram i geovetenskap – Naturgeografi;Master;2;120;Vill du lära dig mer om de krafter och processer som formar jordens yta genom tiderna, och hur dessa är kopplade till förändringar i vårt klimat och vår miljö? Är du bekymrad över människans avtryck på landskapet som omger dig? Masterprogrammet i geovetenskap, med inriktning mot naturgeografi, ger dig kunskaper, metoder och färdigheter för att ta itu med dessa och andra frågor.;https://www.uu.se/utbildning/program/masterprogram-geovetenskap-naturgeografi;;;;;;;;;;;;;;;;;;;;;
68;Masterprogram i geovetenskap – Paleobiologi;Master;2;120;Är du intresserad av hur livet på jorden såg ut för miljontals år sedan? Vill du förstå hur livet har utvecklats och påverkats av jordens kemiska och fysiska förändringar? Är du nyfiken på hur klimatet och miljön har förändrats över tid? Masterprogrammet i geovetenskap, med inriktning paleobiologi, kombinerar forskning med biologiska vetenskaper för att återskapa och förstå de evolutionära förändringar som har ägt rum under historiens gång.;https://www.uu.se/utbildning/program/masterprogram-geovetenskap-paleobiologi;Geovetenskap;Paleobiologi;;;;;;;;;;;;;;;;;;;
69;Matematik;Master;2;120;Vill du stärka dina matematiska förmågor och fördjupa dig i matematikens eget universum? Med insikter i matematikens centrala och aktuella forskningsområden tar du en ledande roll som expert och problemlösare av abstrakta och teoretiska frågeställningar. De färdigheter och den kompetens du får är tillämpliga på en mängd olika områden och högt värderade oavsett vilken karriärväg du väljer.;https://www.uu.se/utbildning/program/masterprogram-matematik-matematik;Matematik;;;;;;;;;;;;;;;;;;;;
70;Matematisk fysik;Master;2;120;Är du angelägen om att förstå grundläggande fysik men fascineras samtidigt av matematikens elegans? Tycker du om att utföra explicita beräkningar men söker de underliggande kortfattade mönstren? Då är inriktningen matematisk fysik inom masterprogrammet i fysik något för dig. På programmet får du lära dig att kombinera fysikalisk intuition med matematisk abstraktion och noggrannhet, och bli en skapare av det språk som kommer att driva framtidens forskning.;https://www.uu.se/utbildning/program/masterprogram-fysik-matematisk-fysik;Fysik;Matematik;;;;;;;;;;;;;;;;;;;
71;Materialteknik;Master;2;120;Innovation inom material skapar möjligheter till utveckling inom all annan teknik. I takt med att medvetenheten om att tillgången på råmaterial är ändlig, växer också behovet av att ta fram nya hållbara material och tekniker. Masterprogrammet i materialteknik förbereder dig för att ta dig an dessa utmaningar. Programmet undervisas på Ångströmslaboratoriet, ett av Europas mest avancerade laboratorier för funktionella material och energi.;;Materialvetenskap;Materialteknik;;;;;;;;;;;;;;;;;;;
72;Materialvetenskap;Master;2;120;Materialvetenskap är grunden för innovationer och framgångar inom många områden. Utmaningar inom omställning till ett hållbart samhälle, energisektorn, samt tillgången till råmaterial ökar behoven på såväl utveckling av material som tekniker för materialframställning. Masterprogrammet i materialvetenskap förbereder dig att möta dessa framtidsutmaningar.;;Materialvetenskap;;;;;;;;;;;;;;;;;;;;
73;Metrologi och klimatfysik;Master;2;120;Är du intresserad av väder, prognoser, klimat och klimatförändringar? Då är inriktningen meteorologi och klimatfysik inom masterprogrammet i fysik rätt val för dig. Du får både en djup och bred kunskap inom dessa områden och blir beredd på ett jobb som till exempel prognosmeteorolog eller rådgivare för företag med väderberoende verksamhet. Du blir också väl förberedd på att ta dig an doktorandstudier eller inleda en internationell karriär.;https://www.uu.se/utbildning/program/masterprogram-fysik-meteorologi-klimatfysik;Fysik;Metrologi;;;;;;;;;;;;;;;;;;;
74;Organisk kemi;Master;2;120;Frågar du dig själv hur du kan bli rustad för framtida forskning och utveckling inom antingen den akademiska världen eller industrin? Svaret finns här. På vårt masterprogram i kemi med inriktning mot organisk kemi är du nära kopplad till världsledande forskargrupper inom området. Med lärare som är framstående experter får du en unik chans att göra ditt examensarbete vid forskningsfronten.;https://www.uu.se/utbildning/program/masterprogram-kemi-organisk-kemi;Organiskkemi;Kemi;;;;;;;;;;;;;;;;;;;
75;Paleobiologi - PANGEA;Master;2;120;Är du intresserad av hur livet på jorden såg ut för miljarder år sedan? Vill du förstå hur livet har påverkats av jordens kemiska och fysikaliska förändringar? Och hur har klimatet och miljön förändrats över tid? Masterprogram i paleobiologi – PANGEA är ett Erasmus Mundus-program som är ett samarbete mellan universiteten i Uppsala, Lille i Frankrike, Aten i Grekland och Minho i Portugal.;;Bioteknik;;;;;;;;;;;;;;;;;;;;
76;Teoretisk fysik - kvantfält - strängteori;Master;2;120;Studera universums grundläggande lagar med vårt masterprogram med inriktning mot teoretisk fysik – kvantfält- och strängteori. Du kommer att få den omfattande utbildning som förväntas av en teoretisk fysiker, skaffa nödvändiga matematiska färdigheter och utforska genombrott inom gauge- och konformteori, strängteori, holografi och mycket mer. Under ledning av framstående forskare ger du dig ut på en upptäcktsresa i framkant när det gäller att förstå naturen.;https://www.uu.se/utbildning/program/masterprogram-fysik-teoretisk-fysik;Fysik;;;;;;;;;;;;;;;;;;;;
77;Teoretisk kemo och beräkningskemi;Master;2;120;Vill du utveckla morgondagens molekyler och material med hjälp av beräkningskemi och teoretisk kemi kombinerat med nya maskininlärningsmetoder? På masterprogrammet i kemi - teoretisk kemi och beräkningskemi kommer du att ha en unik möjlighet att dyka djupt in i de mest spännande områdena av elektroniska strukturberäkningar, simuleringar av molekylär dynamik och accelererade modelleringsmetoder för maskininlärning. Låt din passion för beräkningskemi ta dig till nya höjder!;;Beräkningskemi;Beräkningsvetenskap;;;;;;;;;;;;;;;;;;;
78;Tillämpad beräkningsvetenskap;Master;2;120;Hur kan datorsimuleringar av komplexa problem och hantering av stora datamängder förbättra och forma framtida vetenskapliga undersökningar och ingenjörsarbete? Masterprogrammet i tillämpad beräkningsvetenskap syftar till att bredda och fördjupa dina kunskaper inom naturvetenskap eller teknik genom att lära dig tillämpa beräkningsmetoder, programmering, programvara samt matematiska och statistiska modeller inom ditt specifika intresseområde.;;Geovetenskap;Paleobiologi;;;;;;;;;;;;;;;;;;;
79;Tillämpad bioteknik;Master;2;120;Masterprogrammet i tillämpad bioteknik vänder sig till dig som vill inrikta dig mot tillämpad bioteknik och samtidigt få kunskap om projektstyrning och entreprenörskap. Det är ett program som ger dig en unik profil och där du möter både svenska och internationella studenter och lärare, vilket ger dig möjlighet att skapa ett nätverk inför framtiden. Programmet ger dig en unik profil som förbereder dig för en karriär i bioteknik inom både akademin och industrin.;;Bioteknik;;;;;;;;;;;;;;;;;;;;
80;Tillämpad matematik och statistik;Master;2;120;De flesta saker i den verkliga världen är komplexa, från biologiska system till finansmarknader och industriella processer. Att förklara dem är avgörande för att göra framsteg eller fatta beslut och för det krävs lösningar på många matematiska problem. Detta masterprogram med inriktning tillämpad matematik och statistik ger dig verktygen för att komma fram till svar och lösningar. Efter examen är du extremt flexibel och kan arbeta inom många olika branscher.;https://www.uu.se/utbildning/program/masterprogram-matematik-tillampad-matematik-och-statistik;Matematik;Statistik;;;;;;;;;;;;;;;;;;;
81;Vattenteknik;Master;2;120;Tillgång till rent vatten är en grundläggande förutsättning för vårt moderna samhälle, och vatteningenjören spelar en central roll i distribuering, lagring och rening av vatten. Som student på masterprogrammet i vattenteknik kommer du att lära dig att använda banbrytande mät-, simulerings- och dataanalysmetoder för en hållbar utveckling av vattenresurser i bebyggda och naturliga miljöer. Programmet har en profil mot digitalisering i vattensektorn.;;Vattenresurser;Programmering;;;;;;;;;;;;;;;;;;;
82;Vindkraftsprojektering (120 hp);Master;2;120;Idag sker en kraftig utbyggnad av vindkraften för att klara klimatmålen och energiförsörjningen samt möta efterfrågan på förnybar el. Det finns därför ett stort behov av yrkeskunniga som kan leda vindkraftsprojekt, både nationellt och internationellt. Det här ettåriga magisterprogrammet i vindkraftsprojektering är tvärvetenskapligt och öppet för naturvetare, samhällsvetare och teknologer. Programmet lägger grunden för en karriär inom den globala vindkraftsindustrin.;https://www.uu.se/utbildning/program/masterprogram-vindkraftsprojektering;Byggteknik;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
